depth_mm,s120k,s480k
-3,6.02591e-08,5.16816e-14
-2.97496,6.84717e-08,6.42694e-14
-2.94992,7.83694e-08,8.00615e-14
-2.92487,9.0301e-08,9.79128e-14
-2.89983,1.04654e-07,1.21762e-13
-2.87479,1.21537e-07,1.55134e-13
-2.84975,1.41486e-07,1.96496e-13
-2.82471,1.64861e-07,2.39395e-13
-2.79966,1.91993e-07,3.04121e-13
-2.77462,2.23161e-07,3.84755e-13
-2.74958,2.5929e-07,4.98875e-13
-2.72454,3.01026e-07,6.35167e-13
-2.6995,3.48622e-07,7.92316e-13
-2.67445,4.02267e-07,9.12554e-13
-2.64941,4.6405e-07,9.71645e-13
-2.62437,5.35202e-07,9.88612e-13
-2.59933,6.16436e-07,9.94892e-13
-2.57429,7.07226e-07,1.55354e-12
-2.54924,8.10792e-07,2.74976e-12
-2.5242,9.30563e-07,3.96566e-12
-2.49916,1.06797e-06,4.84579e-12
-2.47412,1.22417e-06,5.32058e-12
-2.44908,1.40228e-06,6.67399e-12
-2.42403,1.60698e-06,8.35792e-12
-2.39899,1.84312e-06,1.02731e-11
-2.37395,2.11516e-06,1.22341e-11
-2.34891,2.42915e-06,1.45083e-11
-2.32387,2.79051e-06,1.69593e-11
-2.29882,3.2114e-06,2.00039e-11
-2.27378,3.70172e-06,2.25474e-11
-2.24874,4.2741e-06,2.95135e-11
-2.2237,4.94123e-06,4.57632e-11
-2.19866,5.70181e-06,6.84199e-11
-2.17361,6.55905e-06,9.33287e-11
-2.14857,7.54203e-06,1.17782e-10
-2.12353,8.65499e-06,1.38782e-10
-2.09849,9.94697e-06,1.6135e-10
-2.07345,1.14255e-05,1.84445e-10
-2.0484,1.31349e-05,2.12009e-10
-2.02336,1.51065e-05,2.48123e-10
-1.99832,1.73733e-05,3.04201e-10
-1.97328,1.99693e-05,4.40074e-10
-1.94824,2.29508e-05,6.32866e-10
-1.92319,2.63722e-05,8.5091e-10
-1.89815,3.02485e-05,1.11479e-09
-1.87311,3.46664e-05,1.42156e-09
-1.84807,3.97371e-05,1.83173e-09
-1.82303,4.55225e-05,2.37482e-09
-1.79798,5.21995e-05,3.05469e-09
-1.77294,5.98917e-05,3.91537e-09
-1.7479,6.86249e-05,5.02232e-09
-1.72286,7.86208e-05,6.46264e-09
-1.69782,9.01643e-05,8.34639e-09
-1.67277,0.000103502,1.08513e-08
-1.64773,0.000118905,1.4817e-08
-1.62269,0.00013658,2.0291e-08
-1.59765,0.000156822,2.67405e-08
-1.57261,0.000179954,3.47386e-08
-1.54756,0.000206701,4.4894e-08
-1.52252,0.000237733,5.87368e-08
-1.49748,0.000273752,7.80826e-08
-1.47244,0.000315482,1.03665e-07
-1.44739,0.000363457,1.38224e-07
-1.42235,0.00041823,1.84437e-07
-1.39731,0.000481088,2.47209e-07
-1.37227,0.000553215,3.30648e-07
-1.34723,0.000636005,4.40336e-07
-1.32218,0.000730821,5.84146e-07
-1.29714,0.000839467,7.69363e-07
-1.2721,0.000963875,1.00175e-06
-1.24706,0.0011063,1.30079e-06
-1.22202,0.00126962,1.68245e-06
-1.19697,0.00145726,2.182e-06
-1.17193,0.00167315,2.84973e-06
-1.14689,0.00192175,3.74219e-06
-1.12185,0.00220745,4.92791e-06
-1.09681,0.00253506,6.51702e-06
-1.07176,0.00291219,8.63959e-06
-1.04672,0.00334769,1.14401e-05
-1.02168,0.0038503,1.50399e-05
-0.996639,0.00442749,1.96208e-05
-0.971597,0.00508747,2.5862e-05
-0.946555,0.00584744,3.42966e-05
-0.921513,0.00672258,4.55685e-05
-0.896471,0.00772734,6.07074e-05
-0.871429,0.00888054,8.05632e-05
-0.846387,0.0102067,0.00010662
-0.821345,0.0117266,0.000140368
-0.796303,0.0134678,0.000184739
-0.771261,0.0154677,0.000242052
-0.746218,0.0177685,0.000318121
-0.721176,0.0204162,0.000419153
-0.696134,0.0234616,0.000554031
-0.671092,0.0269631,0.000731182
-0.64605,0.0309918,0.000966938
-0.621008,0.0356213,0.00127809
-0.595966,0.0409357,0.00168948
-0.570924,0.0470196,0.00222912
-0.545882,0.0540167,0.00294075
-0.52084,0.0620622,0.00388226
-0.495798,0.0713172,0.0051253
-0.470756,0.0819613,0.00675943
-0.445714,0.0941967,0.00891914
-0.420672,0.108253,0.0117805
-0.39563,0.124403,0.0155655
-0.370588,0.142952,0.0205451
-0.345546,0.164244,0.0270856
-0.320504,0.188692,0.0357144
-0.295462,0.216801,0.0471373
-0.27042,0.24914,0.0622777
-0.245378,0.286301,0.0822143
-0.220336,0.32901,0.108561
-0.195294,0.37808,0.143264
-0.170252,0.434424,0.18904
-0.14521,0.499155,0.249535
-0.120168,0.573573,0.329457
-0.0951261,0.6591,0.434827
-0.070084,0.757405,0.573916
-0.045042,0.870309,0.75763
-0.02,1,1
