z,true_zz,closure_zz,sigma_zz_norm
0,-0.0151498,-0.0214286,0.490188
0.025,-0.0108186,-0.0185963,0.607207
0.05,-0.00700219,-0.0160411,0.705672
0.075,-0.00366076,-0.0137414,0.786998
0.1,-0.000748034,-0.0116745,0.853031
0.125,0.00177068,-0.00982302,0.905124
0.15,0.00392847,-0.00817013,0.944541
0.175,0.00576022,-0.00669907,0.972701
0.2,0.00729623,-0.00539392,0.990724
0.225,0.00855965,-0.00424298,0.999506
0.25,0.00957511,-0.00323386,1
0.275,0.0103693,-0.00235282,0.993218
0.3,0.0109599,-0.00159051,0.979815
0.325,0.0113671,-0.000936425,0.960538
0.35,0.011612,-0.000379629,0.936188
0.375,0.0117119,8.91789e-05,0.907386
0.4,0.0116826,0.00047882,0.874683
0.425,0.0115414,0.000798586,0.838697
0.45,0.011305,0.00105743,0.800033
0.475,0.0109857,0.00126272,0.759075
0.5,0.0105972,0.0014222,0.716293
0.525,0.0101541,0.00154433,0.67217
0.55,0.00966695,0.00163522,0.62704
0.575,0.00914654,0.00170158,0.58123
0.6,0.00860424,0.00175027,0.535092
0.625,0.00805015,0.0017874,0.488935
0.65,0.00749305,0.00181871,0.442998
0.675,0.00694218,0.00185,0.397548
0.7,0.00640716,0.00188727,0.352869
0.725,0.00589666,0.00193625,0.30919
0.75,0.00541996,0.00200274,0.266784
0.775,0.00498558,0.00209226,0.225882
0.8,0.0046056,0.00221235,0.186842
0.825,0.00429163,0.00236993,0.150027
0.85,0.00405406,0.00257145,0.115747
0.875,0.00390993,0.00282712,0.0845356
0.9,0.00387862,0.00314771,0.0570617
0.925,0.00397794,0.00354352,0.0339159
0.95,0.004231,0.00402762,0.0158778
0.975,0.00467289,0.00461902,0.00420602
1,0.0053377,0.00533634,0.000106009
