z,true_zz,prior_zz,dataonly_zz,eq_zz
0,0.214286,0.332143,0.282476,0.214436
0.025641,0.206593,0.325604,0.281482,0.190345
0.0512821,0.198901,0.319066,0.268193,0.205176
0.0769231,0.191209,0.312527,0.263514,0.192752
0.102564,0.183516,0.305989,0.259709,0.17756
0.128205,0.175824,0.299451,0.254087,0.168118
0.153846,0.168132,0.292912,0.25652,0.133177
0.179487,0.16044,0.286374,0.242012,0.151869
0.205128,0.152747,0.279835,0.238723,0.135045
0.230769,0.145055,0.273297,0.228004,0.141742
0.25641,0.137363,0.266758,0.227338,0.116612
0.282051,0.12967,0.26022,0.215834,0.125792
0.307692,0.121978,0.253681,0.207854,0.123818
0.333333,0.114286,0.247143,0.202131,0.114699
0.358974,0.106593,0.240604,0.195634,0.10803
0.384615,0.0989011,0.234066,0.191166,0.0949359
0.410256,0.0912088,0.227527,0.179095,0.105912
0.435897,0.0835165,0.220989,0.178773,0.0796936
0.461538,0.0758242,0.214451,0.17046,0.0787739
0.487179,0.0681319,0.207912,0.162087,0.0780403
0.512821,0.0604396,0.201374,0.15934,0.0595002
0.538462,0.0527473,0.194835,0.157177,0.0391085
0.564103,0.0450549,0.188297,0.145121,0.0500397
0.589744,0.0373626,0.181758,0.145218,0.0224934
0.615385,0.0296703,0.17522,0.132825,0.0344905
0.641026,0.021978,0.168681,0.128192,0.0219199
0.666667,0.0142857,0.162143,0.12015,0.0201396
0.692308,0.00659341,0.155604,0.115987,0.00608205
0.717949,-0.0010989,0.149066,0.112555,-0.0102925
0.74359,-0.00879121,0.142527,0.100465,0.000745331
0.769231,-0.0164835,0.135989,0.0966394,-0.0143817
0.794872,-0.0241758,0.129451,0.0875587,-0.0128718
0.820513,-0.0318681,0.122912,0.0907296,-0.0501484
0.846154,-0.0395604,0.116374,0.0858869,-0.0620553
0.871795,-0.0472527,0.109835,0.0691524,-0.0363149
0.897436,-0.0549451,0.103297,0.0662725,-0.0544358
0.923077,-0.0626374,0.0967582,0.0595598,-0.0604225
0.948718,-0.0703297,0.0902198,0.0553874,-0.0744515
0.974359,-0.078022,0.0836813,0.049578,-0.0832982
1,-0.0857143,0.0771429,0.0410663,-0.0835896
