tnorm,s1,s2,s3,s4,s5,s6,median
0,-0.0015752,-5.1067e-07,0.0090465,-0.0010796,-0.001359,0.001703,-0.00054008
0.016949,-0.024094,0.0001497,-0.01837,0.0017206,-0.0045123,-0.011177,-0.0078447
0.033898,-0.024511,0.0003911,-0.025738,0.0053193,-0.0030704,0.0027565,-0.0013397
0.050847,-0.12399,5.2005e-05,-0.030777,0.0012922,-0.015741,-0.026884,-0.021312
0.067797,-0.1445,0.00060627,0.011075,0.0046526,-0.012692,0.034886,0.0026294
0.084746,-0.13682,-0.0021357,0.0077941,0.0080333,-0.044796,0.01971,0.0028292
0.10169,-0.11206,-0.004176,-0.023696,0.016381,-0.092364,-0.10068,-0.05803
0.11864,-0.17327,-0.011731,-0.03572,0.012819,-0.11528,-0.097049,-0.066385
0.13559,-0.25641,-0.016626,-0.078889,0.015741,-0.13357,-0.10242,-0.090656
0.15254,-0.28716,-0.019636,-0.11036,0.01436,-0.13857,-0.13813,-0.12425
0.16949,-0.29552,-0.022648,-0.15525,0.011324,-0.15413,-0.14791,-0.15102
0.18644,-0.29732,-0.020556,-0.17112,0.00051339,-0.17079,-0.19024,-0.17096
0.20339,-0.37195,-0.0162,-0.21181,-0.00099057,-0.18857,-0.2029,-0.19574
0.22034,-0.34909,-0.01587,-0.22381,-0.017795,-0.18516,-0.24792,-0.20449
0.23729,-0.48414,-0.013845,-0.26307,-0.067553,-0.19691,-0.25625,-0.22658
0.25424,-0.49985,-0.011368,-0.26655,-0.088806,-0.22539,-0.28502,-0.24597
0.27119,-0.53753,-0.0065846,-0.32201,-0.12444,-0.23226,-0.30404,-0.26815
0.28814,-0.57501,-0.0065329,-0.34078,-0.12936,-0.23637,-0.30997,-0.27317
0.30508,-0.58933,-0.0096518,-0.3407,-0.1439,-0.2398,-0.31013,-0.27496
0.32203,-0.57067,-0.011625,-0.38927,-0.16908,-0.27701,-0.30974,-0.29337
0.33898,-0.6281,-0.010797,-0.43646,-0.19664,-0.28522,-0.3118,-0.29851
0.35593,-0.65013,-0.075022,-0.47267,-0.25646,-0.29177,-0.31295,-0.30236
0.37288,-0.698,-0.094435,-0.49991,-0.26704,-0.33431,-0.31455,-0.32443
0.38983,-0.73535,-0.12381,-0.51751,-0.2786,-0.37521,-0.31606,-0.34563
0.40678,-0.75984,-0.12879,-0.53269,-0.27092,-0.38422,-0.32631,-0.35527
0.42373,-0.79342,-0.24929,-0.53436,-0.2725,-0.38955,-0.36017,-0.37486
0.44068,-0.80009,-0.28534,-0.55502,-0.27749,-0.3986,-0.40408,-0.40134
0.45763,-0.78321,-0.28836,-0.56448,-0.27274,-0.41773,-0.39328,-0.4055
0.47458,-0.7615,-0.27689,-0.57607,-0.30241,-0.4403,-0.38986,-0.41508
0.49153,-0.74242,-0.27155,-0.58988,-0.32716,-0.44882,-0.45465,-0.45173
0.50847,-0.82671,-0.27113,-0.59792,-0.34073,-0.46946,-0.44039,-0.45492
0.52542,-0.84213,-0.27119,-0.62046,-0.36351,-0.4833,-0.44171,-0.46251
0.54237,-0.89837,-0.27566,-0.66231,-0.36918,-0.48764,-0.48194,-0.48479
0.55932,-0.89278,-0.28291,-0.6646,-0.38998,-0.49862,-0.49962,-0.49912
0.57627,-0.95871,-0.30605,-0.71868,-0.42681,-0.53349,-0.51609,-0.52479
0.59322,-0.98376,-0.31498,-0.70882,-0.47311,-0.53426,-0.53083,-0.53254
0.61017,-0.97702,-0.3816,-0.73375,-0.51061,-0.54136,-0.57679,-0.55907
0.62712,-0.99257,-0.4135,-0.78671,-0.53096,-0.54312,-0.55554,-0.54933
0.64407,-0.98797,-0.42544,-0.80935,-0.52773,-0.53686,-0.55744,-0.54715
0.66102,-0.98942,-0.44504,-0.86666,-0.52628,-0.54797,-0.59406,-0.57101
0.67797,-1.0886,-0.47774,-0.87629,-0.51953,-0.57855,-0.61371,-0.59613
0.69492,-1.1198,-0.47457,-0.915,-0.5193,-0.58749,-0.62593,-0.60671
0.71186,-1.1937,-0.50602,-0.94134,-0.56606,-0.62228,-0.63036,-0.62632
0.72881,-1.2012,-0.52845,-0.9518,-0.58635,-0.62575,-0.63609,-0.63092
0.74576,-1.2417,-0.51379,-0.94499,-0.61332,-0.65083,-0.63334,-0.64209
0.76271,-1.2427,-0.55591,-1.0075,-0.60882,-0.66565,-0.62806,-0.64686
0.77966,-1.2571,-0.56337,-1.0653,-0.64617,-0.71291,-0.63373,-0.67954
0.79661,-1.2784,-0.59053,-1.0463,-0.68916,-0.68267,-0.62016,-0.68591
0.81356,-1.3037,-0.56456,-1.081,-0.69275,-0.70432,-0.63263,-0.69853
0.83051,-1.352,-0.63786,-1.1175,-0.72084,-0.72755,-0.63817,-0.72419
0.84746,-1.3605,-0.55243,-1.1635,-0.74227,-0.73937,-0.62315,-0.74082
0.86441,-1.359,-0.5997,-1.1849,-0.76102,-0.76313,-0.61999,-0.76208
0.88136,-1.3727,-0.60999,-1.1978,-0.75497,-0.74771,-0.634,-0.75134
0.89831,-1.3145,-0.61006,-1.2317,-0.75525,-0.75963,-0.60818,-0.75744
0.91525,-1.2674,-0.61252,-1.2588,-0.68742,-0.76142,-0.58159,-0.72442
0.9322,-1.2838,-0.54897,-1.2808,-0.67692,-0.78827,-0.59109,-0.7326
0.94915,-1.2762,-0.5511,-1.2563,-0.6842,-0.7825,-0.5968,-0.73335
0.9661,-1.2778,-0.53732,-1.249,-0.71361,-0.77851,-0.58982,-0.74606
0.98305,-1.2788,-0.54515,-1.2541,-0.69309,-0.78297,-0.63538,-0.73803
1,-1.3267,-0.53069,-1.2585,-0.71821,-0.78296,-0.65462,-0.75058
