x y z
0 0 0.29007
0.0285714 0 0.358285
0.0571429 0 0.274748
0.0857143 0 0.300691
0.114286 0 0.32821
0.142857 0 0.349708
0.171429 0 0.332134
0.2 0 0.312256
0.228571 0 0.335045
0.257143 0 0.300294
0.285714 0 0.317825
0.314286 0 0.327603
0.342857 0 0.313784
0.371429 0 0.256201
0.4 0 0.266514
0.428571 0 0.314707
0.457143 0 0.327153
0.485714 0 0.329604
0.514286 0 0.333728
0.542857 0 0.327098
0.571429 0 0.31874
0.6 0 0.317826
0.628571 0 0.359577
0.657143 0 0.361606
0.685714 0 0.305509
0.714286 0 0.30169
0.742857 0 0.294114
0.771429 0 0.287374
0.8 0 0.267988
0.828571 0 0.306388
0.857143 0 0.295788
0.885714 0 0.334324
0.914286 0 0.310579
0.942857 0 0.294044
0.971429 0 0.363368
1 0 0.372524

0 0.0204082 0.307261
0.0285714 0.0204082 0.384993
0.0571429 0.0204082 0.332394
0.0857143 0.0204082 0.348238
0.114286 0.0204082 0.279182
0.142857 0.0204082 0.336482
0.171429 0.0204082 0.301375
0.2 0.0204082 0.346662
0.228571 0.0204082 0.346359
0.257143 0.0204082 0.331946
0.285714 0.0204082 0.295056
0.314286 0.0204082 0.347177
0.342857 0.0204082 0.323651
0.371429 0.0204082 0.346789
0.4 0.0204082 0.301214
0.428571 0.0204082 0.335388
0.457143 0.0204082 0.290805
0.485714 0.0204082 0.287791
0.514286 0.0204082 0.374057
0.542857 0.0204082 0.309784
0.571429 0.0204082 0.306101
0.6 0.0204082 0.308967
0.628571 0.0204082 0.32823
0.657143 0.0204082 0.297226
0.685714 0.0204082 0.36042
0.714286 0.0204082 0.317434
0.742857 0.0204082 0.337313
0.771429 0.0204082 0.329079
0.8 0.0204082 0.340114
0.828571 0.0204082 0.323333
0.857143 0.0204082 0.320087
0.885714 0.0204082 0.281917
0.914286 0.0204082 0.345486
0.942857 0.0204082 0.334045
0.971429 0.0204082 0.347052
1 0.0204082 0.33664

0 0.0408163 0.37068
0.0285714 0.0408163 0.374567
0.0571429 0.0408163 0.277071
0.0857143 0.0408163 0.313253
0.114286 0.0408163 0.291903
0.142857 0.0408163 0.292703
0.171429 0.0408163 0.278007
0.2 0.0408163 0.306762
0.228571 0.0408163 0.293579
0.257143 0.0408163 0.29484
0.285714 0.0408163 0.306294
0.314286 0.0408163 0.340424
0.342857 0.0408163 0.309367
