x y z
0 0 -0.623713
0.0285714 0 -0.600427
0.0571429 0 -0.602134
0.0857143 0 -0.626799
0.114286 0 -0.595599
0.142857 0 -0.585538
0.171429 0 -0.587094
0.2 0 -0.617877
0.228571 0 -0.579576
0.257143 0 -0.606287
0.285714 0 -0.601463
0.314286 0 -0.613946
0.342857 0 -0.613281
0.371429 0 -0.596785
0.4 0 -0.641628
0.428571 0 -0.592938
0.457143 0 -0.643986
0.485714 0 -0.616076
0.514286 0 -0.574548
0.542857 0 -0.606979
0.571429 0 -0.630783
0.6 0 -0.603385
0.628571 0 -0.585849
0.657143 0 -0.588882
0.685714 0 -0.606589
0.714286 0 -0.575544
0.742857 0 -0.618364
0.771429 0 -0.626784
0.8 0 -0.560048
0.828571 0 -0.635555
0.857143 0 -0.622302
0.885714 0 -0.591984
0.914286 0 -0.609698
0.942857 0 -0.624451
0.971429 0 -0.589064
1 0 -0.606936

0 0.0204082 -0.554833
0.0285714 0.0204082 -0.544457
0.0571429 0.0204082 -0.522967
0.0857143 0.0204082 -0.551715
0.114286 0.0204082 -0.619708
0.142857 0.0204082 -0.557515
0.171429 0.0204082 -0.58309
0.2 0.0204082 -0.596041
0.228571 0.0204082 -0.608749
0.257143 0.0204082 -0.565993
0.285714 0.0204082 -0.587356
0.314286 0.0204082 -0.534004
0.342857 0.0204082 -0.562204
0.371429 0.0204082 -0.534169
0.4 0.0204082 -0.538297
0.428571 0.0204082 -0.591854
0.457143 0.0204082 -0.577749
0.485714 0.0204082 -0.584815
0.514286 0.0204082 -0.551819
0.542857 0.0204082 -0.594647
0.571429 0.0204082 -0.530548
0.6 0.0204082 -0.514628
0.628571 0.0204082 -0.597732
0.657143 0.0204082 -0.574838
0.685714 0.0204082 -0.589495
0.714286 0.0204082 -0.589204
0.742857 0.0204082 -0.558801
0.771429 0.0204082 -0.543093
0.8 0.0204082 -0.585525
0.828571 0.0204082 -0.57336
0.857143 0.0204082 -0.560199
0.885714 0.0204082 -0.596002
0.914286 0.0204082 -0.544986
0.942857 0.0204082 -0.509039
0.971429 0.0204082 -0.575301
1 0.0204082 -0.57475

0 0.0408163 -0.541137
0.0285714 0.0408163 -0.51674
0.0571429 0.0408163 -0.582215
0.0857143 0.0408163 -0.540555
0.114286 0.0408163 -0.546782
0.142857 0.0408163 -0.559503
0.171429 0.0408163 -0.565558
0.2 0.0408163 -0.538125
0.228571 0.0408163 -0.582731
0.257143 0.0408163 -0.536971
0.285714 0.0408163 -0.588857
0.314286 0.0408163 -0.596076
0.342857 0.0408163 -0.593904
0.371429 0.0408163 -0.541092
0.4 0.0408163 -0.553742
0.428571 0.0408163 -0.591025
0.457143 0.0408163 -0.554523
0.485714 0.0408163 -0.545707
0.514286 0.0408163 -0.536845
0.542857 0.0408163 -0.561752
0.571429 0.0408163 -0.538491
0.6 0.0408163 -0.540568
0.628571 0.0408163 -0.570294
0.657143 0.0408163 -0.516903
0.685714 0.0408163 -0.552037
0.714286 0.0408163 -0.571042
0.742857 0.0408163 -0.535537
0.771429 0.0408163 -0.589312
0.8 0.0408163 -0.533371
0.828571 0.0408163 -0.542341
0.857143 0.0408163 -0.560576
0.885714 0.0408163 -0.558984
0.914286 0.0408163 -0.583283
0.942857 0.0408163 -0.556248
0.971429 0.0408163 -0.546083
1 0.0408163 -0.528824

0 0.0612245 -0.500663
0.0285714 0.0612245 -0.493099
0.0571429 0.0612245 -0.546612
0.0857143 0.0612245 -0.539769
0.114286 0.0612245 -0.550454
0.142857 0.0612245 -0.461359
0.171429 0.0612245 -0.527777
0.2 0.0612245 -0.488354
0.228571 0.0612245 -0.542642
0.257143 0.0612245 -0.563781
0.285714 0.0612245 -0.51295
0.314286 0.0612245 -0.542601
0.342857 0.0612245 -0.516305
0.371429 0.0612245 -0.533148
0.4 0.0612245 -0.51447
0.428571 0.0612245 -0.534447
0.457143 0.0612245 -0.542606
0.485714 0.0612245 -0.554947
0.514286 0.0612245 -0.549834
0.542857 0.0612245 -0.545717
0.571429 0.0612245 -0.529972
0.6 0.0612245 -0.543964
0.628571 0.0612245 -0.529499
0.657143 0.0612245 -0.547291
0.685714 0.0612245 -0.497139
0.714286 0.0612245 -0.508389
0.742857 0.0612245 -0.563251
0.771429 0.0612245 -0.537528
0.8 0.0612245 -0.529537
0.828571 0.0612245 -0.523373
0.857143 0.0612245 -0.527277
0.885714 0.0612245 -0.535077
0.914286 0.0612245 -0.510075
0.942857 0.0612245 -0.512137
0.971429 0.0612245 -0.555584
1 0.0612245 -0.554045

0 0.0816327 -0.543873
0.0285714 0.0816327 -0.50196
0.0571429 0.0816327 -0.508704
0.0857143 0.0816327 -0.509142
0.114286 0.0816327 -0.500884
0.142857 0.0816327 -0.564425
0.171429 0.0816327 -0.508605
0.2 0.0816327 -0.521693
0.228571 0.0816327 -0.529337
0.257143 0.0816327 -0.513846
0.285714 0.0816327 -0.491218
0.314286 0.0816327 -0.504236
0.342857 0.0816327 -0.541088
0.371429 0.0816327 -0.514524
0.4 0.0816327 -0.545201
0.428571 0.0816327 -0.513892
0.457143 0.0816327 -0.495161
0.485714 0.0816327 -0.541833
0.514286 0.0816327 -0.462348
0.542857 0.0816327 -0.535583
0.571429 0.0816327 -0.521353
0.6 0.0816327 -0.515412
0.628571 0.0816327 -0.558168
0.657143 0.0816327 -0.506231
0.685714 0.0816327 -0.504553
0.714286 0.0816327 -0.480158
0.742857 0.0816327 -0.506293
0.771429 0.0816327 -0.502032
0.8 0.0816327 -0.467535
0.828571 0.0816327 -0.519926
0.857143 0.0816327 -0.517419
0.885714 0.0816327 -0.497611
0.914286 0.0816327 -0.509078
0.942857 0.0816327 -0.536687
0.971429 0.0816327 -0.481198
1 0.0816327 -0.469719

0 0.102041 -0.477262
0.0285714 0.102041 -0.465608
0.0571429 0.102041 -0.503436
0.0857143 0.102041 -0.493404
0.114286 0.102041 -0.484315
0.142857 0.102041 -0.472372
0.171429 0.102041 -0.465238
0.2 0.102041 -0.497533
0.228571 0.102041 -0.454852
0.257143 0.102041 -0.461645
0.285714 0.102041 -0.539125
0.314286 0.102041 -0.514349
0.342857 0.102041 -0.508555
0.371429 0.102041 -0.500036
0.4 0.102041 -0.452703
0.428571 0.102041 -0.49116
0.457143 0.102041 -0.512114
0.485714 0.102041 -0.4845
0.514286 0.102041 -0.511313
0.542857 0.102041 -0.519463
0.571429 0.102041 -0.505983
0.6 0.102041 -0.43221
0.628571 0.102041 -0.489054
0.657143 0.102041 -0.4749
0.685714 0.102041 -0.48616
0.714286 0.102041 -0.493638
0.742857 0.102041 -0.501302
0.771429 0.102041 -0.456863
0.8 0.102041 -0.468773
0.828571 0.102041 -0.484023
0.857143 0.102041 -0.497859
0.885714 0.102041 -0.521718
0.914286 0.102041 -0.486277
0.942857 0.102041 -0.451736
0.971429 0.102041 -0.530649
1 0.102041 -0.45528

0 0.122449 -0.468204
0.0285714 0.122449 -0.464146
0.0571429 0.122449 -0.455682
0.0857143 0.122449 -0.471155
0.114286 0.122449 -0.498467
0.142857 0.122449 -0.451781
0.171429 0.122449 -0.43228
0.2 0.122449 -0.413927
0.228571 0.122449 -0.532239
0.257143 0.122449 -0.444214
0.285714 0.122449 -0.483396
0.314286 0.122449 -0.479211
0.342857 0.122449 -0.47263
0.371429 0.122449 -0.46216
0.4 0.122449 -0.459745
0.428571 0.122449 -0.434064
0.457143 0.122449 -0.473944
0.485714 0.122449 -0.478319
0.514286 0.122449 -0.464971
0.542857 0.122449 -0.498868
0.571429 0.122449 -0.508838
0.6 0.122449 -0.504828
0.628571 0.122449 -0.445206
0.657143 0.122449 -0.464403
0.685714 0.122449 -0.46506
0.714286 0.122449 -0.473877
0.742857 0.122449 -0.501559
0.771429 0.122449 -0.506739
0.8 0.122449 -0.483638
0.828571 0.122449 -0.458812
0.857143 0.122449 -0.458748
0.885714 0.122449 -0.425232
0.914286 0.122449 -0.488357
0.942857 0.122449 -0.48098
0.971429 0.122449 -0.493795
1 0.122449 -0.448723

0 0.142857 -0.446943
0.0285714 0.142857 -0.487967
0.0571429 0.142857 -0.435708
0.0857143 0.142857 -0.430525
0.114286 0.142857 -0.456994
0.142857 0.142857 -0.463814
0.171429 0.142857 -0.44375
0.2 0.142857 -0.403999
0.228571 0.142857 -0.460237
0.257143 0.142857 -0.421618
0.285714 0.142857 -0.482214
0.314286 0.142857 -0.418069
0.342857 0.142857 -0.479951
0.371429 0.142857 -0.457119
0.4 0.142857 -0.479565
0.428571 0.142857 -0.431535
0.457143 0.142857 -0.450806
0.485714 0.142857 -0.4582
0.514286 0.142857 -0.441818
0.542857 0.142857 -0.457857
0.571429 0.142857 -0.42534
0.6 0.142857 -0.449679
0.628571 0.142857 -0.44471
0.657143 0.142857 -0.457095
0.685714 0.142857 -0.476951
0.714286 0.142857 -0.441987
0.742857 0.142857 -0.47536
0.771429 0.142857 -0.420357
0.8 0.142857 -0.430249
0.828571 0.142857 -0.496859
0.857143 0.142857 -0.430021
0.885714 0.142857 -0.441546
0.914286 0.142857 -0.41571
0.942857 0.142857 -0.421314
0.971429 0.142857 -0.464041
1 0.142857 -0.446513

0 0.163265 -0.406737
0.0285714 0.163265 -0.455537
0.0571429 0.163265 -0.410155
0.0857143 0.163265 -0.444709
0.114286 0.163265 -0.402397
0.142857 0.163265 -0.457736
0.171429 0.163265 -0.37638
0.2 0.163265 -0.393684
0.228571 0.163265 -0.395102
0.257143 0.163265 -0.42803
0.285714 0.163265 -0.424003
0.314286 0.163265 -0.450299
0.342857 0.163265 -0.414814
0.371429 0.163265 -0.383171
0.4 0.163265 -0.42812
0.428571 0.163265 -0.4141
0.457143 0.163265 -0.420065
0.485714 0.163265 -0.393568
0.514286 0.163265 -0.45111
