sigma,re,im
10000,-0.0522128,0.0391688
12328.5,-0.0570965,0.0468388
15199.1,-0.0617722,0.0554116
18738.2,-0.0661305,0.0648542
23101.3,-0.0700509,0.0751184
28480.4,-0.0734025,0.0861242
35111.9,-0.0760594,0.0977475
43287.6,-0.077923,0.109822
53367,-0.0789386,0.122155
65793.3,-0.0790996,0.134547
81113.1,-0.0784425,0.14681
100000,-0.077038,0.158778
123285,-0.0749804,0.170315
151991,-0.0723782,0.181312
187382,-0.0693455,0.191696
231013,-0.0659938,0.201421
284804,-0.0624267,0.210464
351119,-0.0587361,0.218826
432876,-0.0550005,0.226521
533670,-0.0512847,0.233575
657933,-0.0476405,0.240019
811131,-0.044108,0.245891
1e+06,-0.0407168,0.25123
1.23285e+06,-0.0374876,0.256075
1.51991e+06,-0.0344341,0.260467
1.87382e+06,-0.0315637,0.264443
2.31013e+06,-0.0288791,0.268039
2.84804e+06,-0.0263794,0.271288
3.51119e+06,-0.0240608,0.274222
4.32876e+06,-0.0219171,0.276871
5.3367e+06,-0.0199411,0.279261
6.57933e+06,-0.0181243,0.281416
8.11131e+06,-0.0164576,0.28336
1e+07,-0.0149317,0.285112
1.23285e+07,-0.0135371,0.286691
1.51991e+07,-0.0122645,0.288115
1.87382e+07,-0.0111049,0.289397
2.31013e+07,-0.0100495,0.290553
2.84804e+07,-0.00908994,0.291594
3.51119e+07,-0.00821845,0.292532
4.32876e+07,-0.00742762,0.293376
5.3367e+07,-0.00671053,0.294137
6.57933e+07,-0.00606077,0.294823
8.11131e+07,-0.00547237,0.29544
1e+08,-0.00493984,0.295997
