z,true_xx,prior_xx,full_xx,ros_xx,true_zz,prior_zz,full_zz,ros_zz,true_xy,prior_xy,full_xy,ros_xy,true_xz,prior_xz,full_xz,ros_xz
0,-0.4,-0.24,-0.369051,-0.414678,0.1,0.235,0.0852364,0.179777,0,0,0.00896762,0.0067874,0,0.08,-0.0309206,0.08
0.025641,-0.394872,-0.235641,-0.393707,-0.35927,0.115385,0.248077,0.101611,0.194311,0.0160933,0.0136793,-0.00477242,-0.0269476,0.00384615,0.0832692,-0.000896705,0.0832692
0.0512821,-0.389744,-0.231282,-0.393581,-0.359007,0.130769,0.261154,0.137315,0.209639,0.0320823,0.0272699,0.0124231,0.0146795,0.00769231,0.0865385,0.0245793,0.0865385
0.0769231,-0.384615,-0.226923,-0.362563,-0.40601,0.146154,0.274231,0.10974,0.220428,0.0478631,0.0406837,0.0376317,0.0527554,0.0115385,0.0898077,0.00578463,0.0898077
0.102564,-0.379487,-0.222564,-0.36176,-0.397242,0.161538,0.287308,0.132585,0.233287,0.0633336,0.0538336,0.0345378,0.0885981,0.0153846,0.0930769,0.00370144,0.0930769
0.128205,-0.374359,-0.218205,-0.419435,-0.375194,0.176923,0.300385,0.170667,0.249837,0.0783933,0.0666343,0.118708,0.0951035,0.0192308,0.0963462,0.0807816,0.0963462
0.153846,-0.369231,-0.213846,-0.391099,-0.395388,0.192308,0.313462,0.204335,0.261903,0.0929446,0.0790029,0.102539,0.0814837,0.0230769,0.0996154,0.0217887,0.0996154
0.179487,-0.364103,-0.209487,-0.37335,-0.400764,0.207692,0.326538,0.21686,0.278638,0.106893,0.0908592,0.116177,0.119679,0.0269231,0.102885,0.0301862,0.102885
0.205128,-0.358974,-0.205128,-0.345546,-0.374474,0.223077,0.339615,0.237316,0.290132,0.120148,0.102126,0.12806,0.144656,0.0307692,0.106154,0.00484225,0.106154
0.230769,-0.353846,-0.200769,-0.384504,-0.361737,0.238462,0.352692,0.248223,0.300875,0.132625,0.112731,0.166251,0.100069,0.0346154,0.109423,0.0212349,0.109423
0.25641,-0.348718,-0.19641,-0.317915,-0.348566,0.253846,0.365769,0.26424,0.320128,0.14424,0.122604,0.150913,0.0942584,0.0384615,0.112692,0.0384665,0.112692
0.282051,-0.34359,-0.192051,-0.321971,-0.440638,0.269231,0.378846,0.281465,0.323893,0.154921,0.131683,0.145635,0.154067,0.0423077,0.115962,0.0804913,0.115962
0.307692,-0.338462,-0.187692,-0.360631,-0.376489,0.284615,0.391923,0.327735,0.343037,0.164597,0.139907,0.128169,0.133297,0.0461538,0.119231,0.0422317,0.119231
0.333333,-0.333333,-0.183333,-0.364686,-0.356723,0.3,0.405,0.333593,0.352105,0.173205,0.147224,0.174993,0.149623,0.05,0.1225,0.0327401,0.1225
0.358974,-0.328205,-0.178974,-0.316563,-0.329871,0.315385,0.418077,0.309786,0.369302,0.18069,0.153587,0.190358,0.155501,0.0538462,0.125769,0.07337,0.125769
0.384615,-0.323077,-0.174615,-0.331379,-0.343943,0.330769,0.431154,0.391586,0.381256,0.187003,0.158953,0.201726,0.171072,0.0576923,0.129038,0.0440961,0.129038
0.410256,-0.317949,-0.170256,-0.304004,-0.291606,0.346154,0.444231,0.328188,0.400022,0.192104,0.163288,0.185888,0.18016,0.0615385,0.132308,0.106695,0.132308
0.435897,-0.312821,-0.165897,-0.344283,-0.343101,0.361538,0.457308,0.406443,0.403789,0.195958,0.166564,0.180744,0.206943,0.0653846,0.135577,0.0343721,0.135577
0.461538,-0.307692,-0.161538,-0.308886,-0.3196,0.376923,0.470385,0.364094,0.422243,0.198542,0.168761,0.236203,0.179531,0.0692308,0.138846,0.10279,0.138846
0.487179,-0.302564,-0.157179,-0.303849,-0.321271,0.392308,0.483462,0.380879,0.430137,0.199838,0.169862,0.196713,0.162151,0.0730769,0.142115,0.104584,0.142115
0.512821,-0.297436,-0.152821,-0.29285,-0.289602,0.407692,0.496538,0.432722,0.450907,0.199838,0.169862,0.242216,0.193692,0.0769231,0.145385,0.146772,0.145385
0.538462,-0.292308,-0.148462,-0.260152,-0.279479,0.423077,0.509615,0.406218,0.463493,0.198542,0.168761,0.169301,0.190516,0.0807692,0.148654,0.0873318,0.148654
