ratio,cond_ros,cond_full,rank_ros,rank_full
0,1.41421,8.07651,3,6
0.02,1.4725,8.27651,3,6
0.04,1.53433,8.51062,3,6
0.06,1.59985,8.77659,3,6
0.08,1.66925,9.07289,3,6
0.1,1.74271,9.39864,3,6
0.12,1.82045,9.75344,3,6
0.14,1.90272,10.1373,3,6
0.16,1.98977,10.5506,3,6
0.18,2.0819,10.9941,3,6
0.2,2.17945,11.4688,3,6
0.22,2.28277,11.9762,3,6
0.24,2.39228,12.5177,3,6
0.26,2.50842,13.0955,3,6
0.28,2.63172,13.7118,3,6
0.3,2.76273,14.3693,3,6
0.32,2.90209,15.0711,3,6
0.34,3.05054,15.8207,3,6
0.36,3.20887,16.6221,3,6
0.38,3.37802,17.4799,3,6
0.4,3.55903,18.3995,3,6
0.42,3.75308,19.3867,3,6
0.44,3.96155,20.4485,3,6
0.46,4.186,21.593,3,6
0.48,4.42826,22.8294,3,6
0.5,4.69042,24.1683,3,6
0.52,4.97494,25.6225,3,6
0.54,5.28471,27.2067,3,6
0.56,5.62315,28.9383,3,6
0.58,5.99433,30.8383,3,6
0.6,6.40312,32.9317,3,6
0.62,6.85545,35.2487,3,6
0.64,7.35854,37.8265,3,6
0.66,7.92133,40.711,3,6
0.68,8.55497,43.9593,3,6
0.7,9.27362,47.6442,3,6
0.72,10.0955,51.8589,3,6
0.74,11.0443,56.7255,3,6
0.76,12.1518,62.4069,3,6
0.78,13.4613,69.125,3,6
0.8,15.0333,77.1906,3,6
0.82,16.9553,87.0529,3,6
0.84,19.3585,99.3851,3,6
0.86,22.449,115.246,3,6
0.88,26.5707,136.399,3,6
0.9,32.3419,166.019,3,6
0.92,41,210.457,3,6
0.94,55.4316,284.531,3,6
0.96,84.2971,432.691,3,6
0.98,170.898,877.198,3,6
