x y z
0 -1.5 0
0.423729 -1.5 3.22791e-08
0.847458 -1.5 1.22341e-07
1.27119 -1.5 3.35277e-07
1.69492 -1.5 6.36876e-07
2.11864 -1.5 9.18733e-07
2.54237 -1.5 1.32194e-06
2.9661 -1.5 2.05437e-06
3.38983 -1.5 2.68543e-06
3.81356 -1.5 3.43186e-06
4.23729 -1.5 4.56656e-06
4.66102 -1.5 5.12502e-06
5.08475 -1.5 5.80907e-06
5.50847 -1.5 6.97308e-06
5.9322 -1.5 7.67863e-06
6.35593 -1.5 7.98823e-06
6.77966 -1.5 8.93313e-06
7.20339 -1.5 8.43433e-06
7.62712 -1.5 9.03911e-06
8.05085 -1.5 8.91659e-06
8.47458 -1.5 9.03275e-06
8.89831 -1.5 8.46663e-06
9.32203 -1.5 8.24472e-06
9.74576 -1.5 7.61632e-06
10.1695 -1.5 7.11397e-06
10.5932 -1.5 6.29984e-06
11.0169 -1.5 4.92282e-06
11.4407 -1.5 4.66467e-06
11.8644 -1.5 4.106e-06
12.2881 -1.5 3.0901e-06
12.7119 -1.5 2.12948e-06
13.1356 -1.5 1.86625e-06
13.5593 -1.5 1.36597e-06
13.9831 -1.5 1.02595e-06
14.4068 -1.5 8.50439e-07
14.8305 -1.5 6.65863e-07
15.2542 -1.5 5.21785e-07
15.678 -1.5 4.27806e-07
16.1017 -1.5 3.73273e-07
16.5254 -1.5 2.81251e-07
16.9492 -1.5 2.2688e-07
17.3729 -1.5 1.8383e-07
17.7966 -1.5 1.47599e-07
18.2203 -1.5 1.23808e-07
18.6441 -1.5 1.03443e-07
19.0678 -1.5 8.61774e-08
19.4915 -1.5 7.6414e-08
19.9153 -1.5 6.24255e-08
20.339 -1.5 4.89676e-08
20.7627 -1.5 4.17765e-08
21.1864 -1.5 3.60623e-08
21.6102 -1.5 3.16136e-08
22.0339 -1.5 2.6792e-08
22.4576 -1.5 2.36494e-08
22.8814 -1.5 1.92226e-08
23.3051 -1.5 1.54484e-08
23.7288 -1.5 1.56124e-08
24.1525 -1.5 1.20144e-08
24.5763 -1.5 1.02112e-08
25 -1.5 8.809e-09

0 -1.47492 0
0.423729 -1.47492 3.94142e-08
0.847458 -1.47492 1.55243e-07
1.27119 -1.47492 4.0055e-07
1.69492 -1.47492 7.47557e-07
2.11864 -1.47492 1.1094e-06
2.54237 -1.47492 1.64292e-06
2.9661 -1.47492 2.51605e-06
3.38983 -1.47492 3.28741e-06
3.81356 -1.47492 4.19775e-06
4.23729 -1.47492 5.68287e-06
4.66102 -1.47492 6.24388e-06
5.08475 -1.47492 7.09691e-06
5.50847 -1.47492 8.61871e-06
5.9322 -1.47492 9.4438e-06
6.35593 -1.47492 1.03153e-05
6.77966 -1.47492 1.09346e-05
7.20339 -1.47492 1.05609e-05
7.62712 -1.47492 1.11374e-05
8.05085 -1.47492 1.08124e-05
8.47458 -1.47492 1.09489e-05
8.89831 -1.47492 1.0564e-05
9.32203 -1.47492 1.00948e-05
9.74576 -1.47492 9.24198e-06
10.1695 -1.47492 8.47837e-06
10.5932 -1.47492 7.60617e-06
11.0169 -1.47492 6.08718e-06
11.4407 -1.47492 5.68928e-06
11.8644 -1.47492 5.11645e-06
12.2881 -1.47492 3.77261e-06
12.7119 -1.47492 2.65105e-06
13.1356 -1.47492 2.24398e-06
13.5593 -1.47492 1.6612e-06
13.9831 -1.47492 1.26589e-06
14.4068 -1.47492 1.0201e-06
14.8305 -1.47492 7.87816e-07
15.2542 -1.47492 6.41701e-07
15.678 -1.47492 5.19126e-07
16.1017 -1.47492 4.45884e-07
16.5254 -1.47492 3.41923e-07
16.9492 -1.47492 2.71782e-07
17.3729 -1.47492 2.27129e-07
17.7966 -1.47492 1.76973e-07
18.2203 -1.47492 1.51002e-07
18.6441 -1.47492 1.27864e-07
19.0678 -1.47492 1.05702e-07
19.4915 -1.47492 9.43386e-08
19.9153 -1.47492 7.6225e-08
20.339 -1.47492 6.08974e-08
20.7627 -1.47492 5.16692e-08
21.1864 -1.47492 4.3764e-08
21.6102 -1.47492 3.7602e-08
22.0339 -1.47492 3.24218e-08
22.4576 -1.47492 2.90305e-08
22.8814 -1.47492 2.35246e-08
23.3051 -1.47492 1.83921e-08
23.7288 -1.47492 1.83359e-08
24.1525 -1.47492 1.45698e-08
24.5763 -1.47492 1.26829e-08
25 -1.47492 1.02176e-08

0 -1.44983 0
0.423729 -1.44983 4.82569e-08
0.847458 -1.44983 1.96894e-07
1.27119 -1.44983 4.76068e-07
1.69492 -1.44983 8.75191e-07
2.11864 -1.44983 1.33803e-06
2.54237 -1.44983 2.04178e-06
2.9661 -1.44983 3.0517e-06
3.38983 -1.44983 4.00724e-06
3.81356 -1.44983 5.13649e-06
4.23729 -1.44983 7.00901e-06
4.66102 -1.44983 7.672e-06
5.08475 -1.44983 8.74632e-06
5.50847 -1.44983 1.05112e-05
5.9322 -1.44983 1.15692e-05
6.35593 -1.44983 1.31732e-05
6.77966 -1.44983 1.33035e-05
7.20339 -1.44983 1.32624e-05
7.62712 -1.44983 1.36994e-05
8.05085 -1.44983 1.32255e-05
8.47458 -1.44983 1.32512e-05
8.89831 -1.44983 1.26404e-05
9.32203 -1.44983 1.22954e-05
9.74576 -1.44983 1.12731e-05
10.1695 -1.44983 1.01641e-05
10.5932 -1.44983 9.20754e-06
11.0169 -1.44983 7.62193e-06
11.4407 -1.44983 6.90582e-06
11.8644 -1.44983 6.29863e-06
12.2881 -1.44983 4.57486e-06
12.7119 -1.44983 3.32381e-06
13.1356 -1.44983 2.69098e-06
13.5593 -1.44983 2.01811e-06
13.9831 -1.44983 1.57269e-06
14.4068 -1.44983 1.23553e-06
14.8305 -1.44983 9.52379e-07
15.2542 -1.44983 7.94337e-07
15.678 -1.44983 6.27398e-07
16.1017 -1.44983 5.31245e-07
16.5254 -1.44983 4.14696e-07
16.9492 -1.44983 3.30331e-07
17.3729 -1.44983 2.79483e-07
17.7966 -1.44983 2.15603e-07
18.2203 -1.44983 1.85875e-07
18.6441 -1.44983 1.57809e-07
19.0678 -1.44983 1.30174e-07
19.4915 -1.44983 1.15307e-07
19.9153 -1.44983 9.25756e-08
20.339 -1.44983 7.60356e-08
20.7627 -1.44983 6.38557e-08
21.1864 -1.44983 5.32536e-08
21.6102 -1.44983 4.47968e-08
22.0339 -1.44983 3.93457e-08
22.4576 -1.44983 3.52907e-08
22.8814 -1.44983 2.86313e-08
23.3051 -1.44983 2.2446e-08
23.7288 -1.44983 2.15447e-08
24.1525 -1.44983 1.7756e-08
24.5763 -1.44983 1.56667e-08
25 -1.44983 1.2207e-08

0 -1.42475 0
0.423729 -1.42475 5.90679e-08
0.847458 -1.42475 2.48204e-07
1.27119 -1.42475 5.6464e-07
1.69492 -1.42475 1.02539e-06
2.11864 -1.42475 1.61421e-06
2.54237 -1.42475 2.52835e-06
2.9661 -1.42475 3.66963e-06
3.38983 -1.42475 4.86499e-06
3.81356 -1.42475 6.27424e-06
4.23729 -1.42475 8.56192e-06
4.66102 -1.42475 9.49809e-06
5.08475 -1.42475 1.08535e-05
5.50847 -1.42475 1.27242e-05
5.9322 -1.42475 1.41117e-05
6.35593 -1.42475 1.65892e-05
6.77966 -1.42475 1.61081e-05
7.20339 -1.42475 1.66089e-05
7.62712 -1.42475 1.67869e-05
8.05085 -1.42475 1.62278e-05
8.47458 -1.42475 1.61217e-05
8.89831 -1.42475 1.53715e-05
9.32203 -1.42475 1.46747e-05
9.74576 -1.42475 1.38288e-05
10.1695 -1.42475 1.2275e-05
10.5932 -1.42475 1.11917e-05
11.0169 -1.42475 9.58671e-06
11.4407 -1.42475 8.35239e-06
11.8644 -1.42475 7.66417e-06
12.2881 -1.42475 5.51892e-06
12.7119 -1.42475 4.16853e-06
13.1356 -1.42475 3.22618e-06
13.5593 -1.42475 2.45248e-06
13.9831 -1.42475 1.93285e-06
14.4068 -1.42475 1.51335e-06
14.8305 -1.42475 1.16892e-06
15.2542 -1.42475 9.84076e-07
15.678 -1.42475 7.63584e-07
16.1017 -1.42475 6.33038e-07
16.5254 -1.42475 5.02381e-07
16.9492 -1.42475 4.0482e-07
17.3729 -1.42475 3.38646e-07
17.7966 -1.42475 2.66405e-07
18.2203 -1.42475 2.29487e-07
18.6441 -1.42475 1.93911e-07
19.0678 -1.42475 1.60492e-07
19.4915 -1.42475 1.39629e-07
19.9153 -1.42475 1.11978e-07
20.339 -1.42475 9.47666e-08
20.7627 -1.42475 7.85814e-08
21.1864 -1.42475 6.49612e-08
21.6102 -1.42475 5.35891e-08
22.0339 -1.42475 4.75586e-08
22.4576 -1.42475 4.25529e-08
22.8814 -1.42475 3.46908e-08
23.3051 -1.42475 2.78586e-08
23.7288 -1.42475 2.54e-08
24.1525 -1.42475 2.14742e-08
24.5763 -1.42475 1.92172e-08
25 -1.42475 1.49335e-08

0 -1.39966 0
0.423729 -1.39966 7.21479e-08
0.847458 -1.39966 3.09947e-07
1.27119 -1.39966 6.70374e-07
1.69492 -1.39966 1.20605e-06
2.11864 -1.39966 1.95056e-06
2.54237 -1.39966 3.11259e-06
2.9661 -1.39966 4.42026e-06
3.38983 -1.39966 5.88754e-06
3.81356 -1.39966 7.64424e-06
4.23729 -1.39966 1.03651e-05
4.66102 -1.39966 1.18302e-05
5.08475 -1.39966 1.35228e-05
5.50847 -1.39966 1.53967e-05
5.9322 -1.39966 1.71486e-05
6.35593 -1.39966 2.05869e-05
6.77966 -1.39966 1.94468e-05
7.20339 -1.39966 2.06652e-05
7.62712 -1.39966 2.04773e-05
8.05085 -1.39966 1.98955e-05
8.47458 -1.39966 1.97003e-05
8.89831 -1.39966 1.88637e-05
9.32203 -1.39966 1.78014e-05
9.74576 -1.39966 1.68633e-05
10.1695 -1.39966 1.49436e-05
10.5932 -1.39966 1.36723e-05
11.0169 -1.39966 1.20352e-05
11.4407 -1.39966 1.00819e-05
11.8644 -1.39966 9.23049e-06
12.2881 -1.39966 6.6366e-06
12.7119 -1.39966 5.20383e-06
13.1356 -1.39966 3.87588e-06
13.5593 -1.39966 2.98552e-06
13.9831 -1.39966 2.35191e-06
14.4068 -1.39966 1.86359e-06
14.8305 -1.39966 1.44814e-06
15.2542 -1.39966 1.21526e-06
15.678 -1.39966 9.3801e-07
16.1017 -1.39966 7.56369e-07
16.5254 -1.39966 6.08865e-07
16.9492 -1.39966 4.97662e-07
17.3729 -1.39966 4.10914e-07
17.7966 -1.39966 3.31643e-07
18.2203 -1.39966 2.82898e-07
18.6441 -1.39966 2.36923e-07
19.0678 -1.39966 1.97333e-07
19.4915 -1.39966 1.67954e-07
19.9153 -1.39966 1.35149e-07
20.339 -1.39966 1.17448e-07
20.7627 -1.39966 9.63876e-08
21.1864 -1.39966 7.89054e-08
21.6102 -1.39966 6.45007e-08
22.0339 -1.39966 5.73263e-08
22.4576 -1.39966 5.10045e-08
22.8814 -1.39966 4.19143e-08
23.3051 -1.39966 3.48916e-08
23.7288 -1.39966 3.01192e-08
24.1525 -1.39966 2.60258e-08
24.5763 -1.39966 2.34037e-08
25 -1.39966 1.85179e-08

0 -1.37458 0
0.423729 -1.37458 8.78901e-08
0.847458 -1.37458 3.82871e-07
1.27119 -1.37458 7.99036e-07
1.69492 -1.37458 1.42794e-06
2.11864 -1.37458 2.3646e-06
2.54237 -1.37458 3.80567e-06
2.9661 -1.37458 5.31287e-06
3.38983 -1.37458 7.11145e-06
3.81356 -1.37458 9.29085e-06
4.23729 -1.37458 1.24547e-05
4.66102 -1.37458 1.44237e-05
5.08475 -1.37458 1.63582e-05
5.50847 -1.37458 1.85931e-05
5.9322 -1.37458 2.07874e-05
6.35593 -1.37458 2.51961e-05
6.77966 -1.37458 2.34595e-05
7.20339 -1.37458 2.54968e-05
7.62712 -1.37458 2.48739e-05
8.05085 -1.37458 2.43829e-05
8.47458 -1.37458 2.41591e-05
8.89831 -1.37458 2.32249e-05
9.32203 -1.37458 2.17862e-05
9.74576 -1.37458 2.04022e-05
10.1695 -1.37458 1.83357e-05
10.5932 -1.37458 1.67625e-05
11.0169 -1.37458 1.50166e-05
11.4407 -1.37458 1.21671e-05
11.8644 -1.37458 1.10255e-05
12.2881 -1.37458 7.9731e-06
12.7119 -1.37458 6.44744e-06
13.1356 -1.37458 4.67571e-06
13.5593 -1.37458 3.64525e-06
13.9831 -1.37458 2.87687e-06
14.4068 -1.37458 2.29637e-06
14.8305 -1.37458 1.79911e-06
15.2542 -1.37458 1.49257e-06
15.678 -1.37458 1.1562e-06
16.1017 -1.37458 9.08116e-07
16.5254 -1.37458 7.39437e-07
16.9492 -1.37458 6.11469e-07
17.3729 -1.37458 4.97423e-07
17.7966 -1.37458 4.13478e-07
18.2203 -1.37458 3.47254e-07
18.6441 -1.37458 2.87846e-07
19.0678 -1.37458 2.4145e-07
19.4915 -1.37458 2.01047e-07
19.9153 -1.37458 1.63097e-07
20.339 -1.37458 1.44451e-07
20.7627 -1.37458 1.18111e-07
21.1864 -1.37458 9.61703e-08
21.6102 -1.37458 7.82105e-08
22.0339 -1.37458 6.9016e-08
22.4576 -1.37458 6.09257e-08
22.8814 -1.37458 5.05996e-08
23.3051 -1.37458 4.37997e-08
23.7288 -1.37458 3.59872e-08
24.1525 -1.37458 3.17149e-08
24.5763 -1.37458 2.83225e-08
25 -1.37458 2.30973e-08

0 -1.34949 3.19407e-41
0.423729 -1.34949 1.06827e-07
0.847458 -1.34949 4.67882e-07
1.27119 -1.34949 9.58458e-07
1.69492 -1.34949 1.70519e-06
2.11864 -1.34949 2.88381e-06
2.54237 -1.34949 4.62166e-06
2.9661 -1.34949 6.362e-06
3.38983 -1.34949 8.5864e-06
3.81356 -1.34949 1.12747e-05
4.23729 -1.34949 1.4884e-05
4.66102 -1.34949 1.7485e-05
5.08475 -1.34949 2.00037e-05
5.50847 -1.34949 2.23934e-05
5.9322 -1.34949 2.51774e-05
6.35593 -1.34949 3.04664e-05
6.77966 -1.34949 2.83408e-05
7.20339 -1.34949 3.11821e-05
7.62712 -1.34949 3.01197e-05
8.05085 -1.34949 2.99431e-05
8.47458 -1.34949 2.96104e-05
8.89831 -1.34949 2.85665e-05
9.32203 -1.34949 2.67257e-05
9.74576 -1.34949 2.49039e-05
10.1695 -1.34949 2.26561e-05
10.5932 -1.34949 2.04198e-05
11.0169 -1.34949 1.85804e-05
11.4407 -1.34949 1.47062e-05
11.8644 -1.34949 1.30933e-05
12.2881 -1.34949 9.5911e-06
12.7119 -1.34949 7.91874e-06
13.1356 -1.34949 5.67271e-06
13.5593 -1.34949 4.41928e-06
13.9831 -1.34949 3.52354e-06
