angle_deg,kappa_eff
0,-0.352
1,-0.351873
2,-0.351493
3,-0.350861
4,-0.349976
5,-0.34884
6,-0.347455
7,-0.345822
8,-0.343942
9,-0.34182
10,-0.339456
11,-0.336854
12,-0.334017
13,-0.330949
14,-0.327653
15,-0.324133
16,-0.320394
17,-0.31644
18,-0.312276
19,-0.307906
20,-0.303337
21,-0.298574
22,-0.293623
23,-0.288489
24,-0.283179
25,-0.2777
26,-0.272058
27,-0.266259
28,-0.260312
29,-0.254223
30,-0.248
31,-0.24165
32,-0.235181
33,-0.228601
34,-0.221918
35,-0.21514
36,-0.208276
37,-0.201333
38,-0.19432
39,-0.187246
40,-0.180119
41,-0.172948
42,-0.165742
43,-0.158509
44,-0.151259
45,-0.144
46,-0.136741
47,-0.129491
48,-0.122258
49,-0.115052
50,-0.107881
51,-0.100754
52,-0.0936802
53,-0.0866674
54,-0.0797245
55,-0.0728598
56,-0.0660818
57,-0.0593988
58,-0.0528188
59,-0.0463499
60,-0.04
61,-0.0337768
62,-0.0276879
63,-0.0217407
64,-0.0159424
65,-0.0103002
66,-0.00482083
67,0.000488941
68,0.00562268
69,0.0105741
70,0.0153372
71,0.0199062
72,0.0242755
73,0.0284398
74,0.032394
75,0.0361333
76,0.0396531
77,0.0429492
78,0.0460175
79,0.0488542
80,0.0514561
81,0.0538198
82,0.0559424
83,0.0578215
84,0.0594547
85,0.06084
86,0.0619758
87,0.0628606
88,0.0634933
89,0.0638733
90,0.064
91,0.0638733
92,0.0634933
93,0.0628606
94,0.0619758
95,0.06084
96,0.0594547
97,0.0578215
98,0.0559424
99,0.0538198
100,0.0514561
101,0.0488542
102,0.0460175
103,0.0429492
104,0.0396531
105,0.0361333
106,0.032394
107,0.0284398
108,0.0242755
109,0.0199062
110,0.0153372
111,0.0105741
112,0.00562268
113,0.000488941
114,-0.00482083
115,-0.0103002
116,-0.0159424
117,-0.0217407
118,-0.0276879
119,-0.0337768
120,-0.04
121,-0.0463499
122,-0.0528188
123,-0.0593988
124,-0.0660818
125,-0.0728598
126,-0.0797245
127,-0.0866674
128,-0.0936802
129,-0.100754
130,-0.107881
131,-0.115052
132,-0.122258
133,-0.129491
134,-0.136741
135,-0.144
136,-0.151259
137,-0.158509
138,-0.165742
139,-0.172948
140,-0.180119
141,-0.187246
142,-0.19432
143,-0.201333
144,-0.208276
145,-0.21514
146,-0.221918
147,-0.228601
148,-0.235181
149,-0.24165
150,-0.248
151,-0.254223
152,-0.260312
153,-0.266259
154,-0.272058
155,-0.2777
156,-0.283179
157,-0.288489
158,-0.293623
159,-0.298574
160,-0.303337
161,-0.307906
162,-0.312276
163,-0.31644
164,-0.320394
165,-0.324133
166,-0.327653
167,-0.330949
168,-0.334017
169,-0.336854
170,-0.339456
171,-0.34182
172,-0.343942
173,-0.345822
174,-0.347455
175,-0.34884
176,-0.349976
177,-0.350861
178,-0.351493
179,-0.351873
180,-0.352
